Ep 1220	Last score: 11.64	Moving average score: 34.01
Ep 1230	Last score: 49.86	Moving average score: 43.67
Ep 1240	Last score: 56.06	Moving average score: 48.83
Ep 1250	Last score: 56.06	Moving average score: 58.22
Ep 1260	Last score: 256.75	Moving average score: 57.57
Ep 1270	Last score: 251.17	Moving average score: 60.91
Ep 1280	Last score: 54.05	Moving average score: 59.84
Ep 1290	Last score: 56.02	Moving average score: 62.86
Ep 1300	Last score: 379.30	Moving average score: 64.74
Ep 1310	Last score: 56.10	Moving average score: 63.38
Ep 1320	Last score: 56.05	Moving average score: 63.74
Ep 1330	Last score: 321.96	Moving average score: 63.37
Ep 1340	Last score: 56.04	Moving average score: 65.75
Ep 1350	Last score: -36.67	Moving average score: 67.60
Ep 1360	Last score: 56.07	Moving average score: 67.49
Ep 1370	Last score: -32.27	Moving average score: 68.44
Ep 1380	Last score: 56.09	Moving average score: 79.35
Ep 1390	Last score: 40.11	Moving average score: 78.48
Ep 1400	Last score: 51.58	Moving average score: 86.83
Ep 1410	Last score: 46.36	Moving average score: 87.99
Ep 1420	Last score: 35.73	Moving average score: 85.87
Ep 1430	Last score: 56.06	Moving average score: 90.28
Ep 1440	Last score: 248.96	Moving average score: 89.79
Ep 1450	Last score: 29.72	Moving average score: 85.94
Ep 1460	Last score: 459.45	Moving average score: 90.67
Ep 1470	Last score: 442.01	Moving average score: 95.44
Ep 1480	Last score: 306.37	Moving average score: 105.43
Ep 1490	Last score: 331.80	Moving average score: 114.36
Ep 1500	Last score: 331.44	Moving average score: 116.13
Ep 1510	Last score: 391.96	Moving average score: 137.78
Ep 1520	Last score: 56.05	Moving average score: 148.52
Ep 1530	Last score: 56.06	Moving average score: 160.37
Ep 1540	Last score: 314.22	Moving average score: 175.06
Ep 1550	Last score: 728.34	Moving average score: 202.71
Ep 1560	Last score: 260.67	Moving average score: 217.64
Ep 1570	Last score: 486.56	Moving average score: 224.13
Ep 1580	Last score: 729.25	Moving average score: 226.64
Ep 1590	Last score: 18.21	Moving average score: 244.29
Ep 1600	Last score: 56.01	Moving average score: 264.11
Ep 1610	Last score: 658.89	Moving average score: 272.97
Ep 1620	Last score: 767.35	Moving average score: 297.59
Ep 1630	Last score: 472.95	Moving average score: 324.53
Ep 1640	Last score: 56.06	Moving average score: 332.64
Ep 1650	Last score: 56.03	Moving average score: 336.27
Ep 1660	Last score: 296.15	Moving average score: 355.42
Ep 1670	Last score: 549.65	Moving average score: 353.65
Ep 1680	Last score: 850.80	Moving average score: 365.85
Ep 1690	Last score: 290.84	Moving average score: 371.03
Ep 1700	Last score: 56.09	Moving average score: 379.99
Ep 1710	Last score: 847.12	Moving average score: 397.36
Ep 1720	Last score: 521.73	Moving average score: 393.53
Ep 1730	Last score: 56.00	Moving average score: 397.40
Ep 1740	Last score: 759.16	Moving average score: 425.76
Ep 1750	Last score: 56.02	Moving average score: 438.49
Ep 1760	Last score: 810.09	Moving average score: 459.84
Ep 1770	Last score: 803.08	Moving average score: 488.75
Ep 1780	Last score: 861.74	Moving average score: 509.96
Ep 1790	Last score: 784.57	Moving average score: 522.60
Ep 1800	Last score: 443.71	Moving average score: 544.48
Ep 1810	Last score: 51.82	Moving average score: 555.53
Ep 1820	Last score: 824.49	Moving average score: 547.04
Ep 1830	Last score: 348.28	Moving average score: 546.61
Ep 1840	Last score: 11.83	Moving average score: 548.02
Ep 1850	Last score: 295.54	Moving average score: 553.69
Ep 1860	Last score: 840.92	Moving average score: 560.97
Ep 1870	Last score: 56.08	Moving average score: 562.27
Ep 1880	Last score: 36.34	Moving average score: 565.17
Ep 1890	Last score: 339.59	Moving average score: 559.97
Ep 1900	Last score: 33.69	Moving average score: 552.03
Ep 1910	Last score: 863.39	Moving average score: 543.99
Ep 1920	Last score: 509.07	Moving average score: 537.54
Ep 1930	Last score: 843.45	Moving average score: 539.51
Ep 1940	Last score: 605.79	Moving average score: 531.45
Ep 1950	Last score: 281.14	Moving average score: 532.90
Ep 1960	Last score: -31.75	Moving average score: 528.76
Ep 1970	Last score: 53.29	Moving average score: 502.50
Ep 1980	Last score: 389.91	Moving average score: 494.12
Ep 1990	Last score: 56.06	Moving average score: 505.22
Ep 2000	Last score: 813.97	Moving average score: 498.05
Ep 2010	Last score: 861.21	Moving average score: 512.43
Ep 2020	Last score: 804.04	Moving average score: 513.08
Ep 2030	Last score: 851.76	Moving average score: 525.31
Ep 2040	Last score: 283.03	Moving average score: 519.66
Ep 2050	Last score: 282.96	Moving average score: 513.45
Ep 2060	Last score: 16.39	Moving average score: 508.34
Ep 2070	Last score: -9.30	Moving average score: 490.12
Ep 2080	Last score: 11.40	Moving average score: 480.81
Ep 2090	Last score: -22.92	Moving average score: 456.53
Ep 2100	Last score: 269.07	Moving average score: 461.11
Ep 2110	Last score: 329.74	Moving average score: 465.07
Ep 2120	Last score: 403.20	Moving average score: 470.08
Ep 2130	Last score: 56.04	Moving average score: 458.92
Ep 2140	Last score: 844.84	Moving average score: 469.77
Ep 2150	Last score: 298.49	Moving average score: 461.06
Ep 2160	Last score: 305.19	Moving average score: 469.50
Ep 2170	Last score: 406.76	Moving average score: 478.64
Ep 2180	Last score: 391.63	Moving average score: 469.96
Ep 2190	Last score: 282.33	Moving average score: 469.87
Ep 2200	Last score: 358.94	Moving average score: 478.78
Ep 2210	Last score: 815.06	Moving average score: 491.74
Ep 2220	Last score: 733.89	Moving average score: 504.28
Ep 2230	Last score: 56.08	Moving average score: 507.29
Ep 2240	Last score: 359.88	Moving average score: 511.73
Ep 2250	Last score: 861.94	Moving average score: 507.57
Ep 2260	Last score: 493.07	Moving average score: 508.95
Ep 2270	Last score: 56.01	Moving average score: 509.39
